timestamp,open,high,low,close,volume
2019-05-06 16:00:00,128.0600,128.2300,127.9650,128.1600,939472
2019-05-06 15:55:00,128.1200,128.2100,128.0650,128.0650,543414
2019-05-06 15:50:00,128.0900,128.1748,128.0100,128.1125,333130
2019-05-06 15:45:00,128.2750,128.2966,128.0700,128.0900,409335
2019-05-06 15:40:00,128.2200,128.3600,128.2000,128.2800,239868
2019-05-06 15:35:00,128.1700,128.2252,128.1050,128.2200,281262
2019-05-06 15:30:00,128.2700,128.3400,128.1550,128.1700,205409
2019-05-06 15:25:00,128.2150,128.3200,128.1800,128.2700,253051
2019-05-06 15:20:00,128.1650,128.3054,128.1300,128.2100,190408
2019-05-06 15:15:00,128.3572,128.3800,128.1500,128.1650,232796
2019-05-06 15:10:00,128.2850,128.4216,128.2850,128.3600,239506
2019-05-06 15:05:00,128.4600,128.4700,128.2800,128.2900,277179
2019-05-06 15:00:00,128.5254,128.5600,128.4200,128.4600,234719
2019-05-06 14:55:00,128.3900,128.5600,128.3900,128.5200,397388
2019-05-06 14:50:00,128.3700,128.4386,128.2832,128.3850,265755
2019-05-06 14:45:00,128.3453,128.3899,128.2600,128.3700,168710
2019-05-06 14:40:00,128.1800,128.3760,128.1398,128.3500,251447
2019-05-06 14:35:00,127.9900,128.1850,127.9796,128.1840,249697
2019-05-06 14:30:00,127.9505,128.0050,127.9280,127.9950,184211
2019-05-06 14:25:00,127.9900,128.0050,127.8800,127.9550,197363
2019-05-06 14:20:00,127.8700,127.9950,127.8400,127.9848,123703
2019-05-06 14:15:00,127.7800,127.8900,127.7800,127.8750,132875
2019-05-06 14:10:00,127.7000,127.7900,127.6700,127.7900,126145
2019-05-06 14:05:00,127.7600,127.7650,127.6600,127.7000,122912
2019-05-06 14:00:00,127.7573,127.7650,127.6900,127.7628,122305
2019-05-06 13:55:00,127.7885,127.8200,127.7500,127.7525,135456
2019-05-06 13:50:00,127.6315,127.7900,127.6100,127.7850,114810
2019-05-06 13:45:00,127.7100,127.7300,127.6300,127.6400,122891
2019-05-06 13:40:00,127.7300,127.7754,127.6700,127.7100,122379
2019-05-06 13:35:00,127.7500,127.8100,127.7300,127.7400,109882
2019-05-06 13:30:00,127.5550,127.7800,127.5500,127.7500,134637
2019-05-06 13:25:00,127.5150,127.5900,127.4543,127.5600,115386
2019-05-06 13:20:00,127.5800,127.6000,127.4900,127.5100,118192
2019-05-06 13:15:00,127.5662,127.6000,127.5300,127.5750,96192
