Lookback period,Average MSE
4,1.5844925028951992e-05
8,1.881498762071297e-05
12,2.5285276068751334e-05
16,2.782231355720523e-05
20,0.00010018796790425026
24,1.7867422615689382e-05
28,4.679921777933088e-05
32,4.06226404837022e-05
36,7.134491716892416e-05
40,5.374354509923453e-05
